Day,Holiday
"Friday, January 1, 2016","Solemnity of Mary, Mother of God"
"Wednesday, January 6, 2016",Epiphany
"Tuesday, February 9, 2016",Shrove Tuesday (Mardi Gras)
"Wednesday, February 10, 2016",Ash Wednesday
"Sunday, March 20, 2016",Palm Sunday
"Thursday, March 24, 2016",Maundy Thursday
"Friday, March 25, 2016",Good Friday
"Sunday, March 27, 2016",Easter
"Monday, March 28, 2016",Easter Monday
"Thursday, May 5, 2016",Ascension of Jesus
"Sunday, May 15, 2016",Pentecost
"Thursday, May 26, 2016",Corpus Christi
"Monday, August 15, 2016",Assumption of the Blessed Virgin Mary
"Tuesday, November 1, 2016",All Saints' Day
"Thursday, December 8, 2016",The Immaculate Conception of The Blessed Virgin Mary
"Sunday, December 25, 2016",Christmas
"Monday, December 26, 2016",Christmas (observed)
